feeling,is,26
feeling,deep,20
feeling,sad,6
feeling,tonight,1
feeling,at,1
feeling,in,4
feeling,You,4
feeling,if,2
feeling,when,5
feeling,Let's,9
feeling,so,60
feeling,ordinary,1
feeling,A,9
feeling,used,2
feeling,Like,6
feeling,I,46
feeling,discouraged,1
feeling,froggish,7
feeling,a,2
feeling,As,2
feeling,upside,15
feeling,alright,9
feeling,the,8
feeling,She,6
post-office,worker,2
Chicago,town,2
Chicago,apartment,9
Chicago,Richard,9
Chicago,to,2
Chicago,Tuesday,9
Chicago,",",13
Chicago,tonight,2
Chicago,suburb,9
Chicago,Cubs,1
Chicago,have,4
Chicago,where,2
now-late,afternoon,7
brawny,bullies,9
dozen,Nasty,7
dozen,can,1
dozen,dead,9
Then,all,1
Then,she'll,59
Then,forget,7
Then,just,7
Then,don't,2
Then,pigeons,2
Then,Wayne,9
Then,go,4
Then,help,3
Then,onward,5
Then,",",6
Then,send,22
Then,to,6
Then,I'll,35
Then,get,5
Then,connects,1
Then,I'd,22
Then,you've,1
Then,they,59
Then,world,1
Then,I'm,49
Then,we'll,22
Then,drop,1
Then,try,2
Then,carryin,6
Then,she,108
Then,each,30
Then,went,6
Then,everyone,5
Then,says,2
Then,sends,44
Then,some,6
Then,freeze,1
Then,scream',2
Then,nothing's,10
Then,expect,4
Then,I'mma,1
Then,out,1
Then,aim,3
Then,what,1
Then,said,22
Then,everything,15
Then,there's,29
Then,they'll,47
Then,we,168
Then,quit,2
Then,let,8
Then,ask,1
Then,along,3
Then,come,10
Then,by,1
Then,of,5
Then,flipped,2
Then,turn,3
Then,lonesome,7
Then,climb,2
Then,suddenly,1
Then,It's,8
Then,one,2
Then,sow,1
Then,you're,25
Then,it's,9
Then,there,9
Then,paint,1
Then,attack,23
Then,taken,1
Then,tell,1
Then,that,3
Then,fire,15
Then,it,42
Then,baby,2
Then,with,1
Then,eat,2
Then,he,143
Then,fly,1
Then,f,2
Then,this,9
Then,will,2
Then,my,5
Then,we'd,1
Then,gone,10
Then,slid,11
Then,describe,2
Then,fuck,12
Then,something,9
Then,in,14
Then,Ira,2
Then,any,4
Then,Nate,5
Then,again,3
Then,when,6
Then,write,1
Then,how,2
Then,take,24
Then,you,290
Then,I,320
Then,who,9
Then,insults,5
Then,crashed,5
Then,Kanye,2
Then,mosy,2
Then,why,10
Then,a,21
Then,i,1
Then,she'd,1
Then,looked,1
Then,winterlude,2
Then,you'll,60
Then,time,35
Then,push,3
Then,she's,2
Then,the,59
Then,that's,3
Then,at,1
Then,came,5
Then,left,1
Them,Communists,5
Them,lyrics,2
Them,people,1
Them,girls,1
Them,talking,1
Them,lips,16
Them,strep,1
Them,out,2
Them,fuckers,4
Them,other,6
Them,earrings,8
Them,white,2
Them,playin',3
Them,charcoal,5
Them,connivin',1
Them,curbs,1
Them,I,2
Them,kind,1
Them,boys,1
Them,haters,1
Them,Reds,5
Them,pigeons'll,1
Them,niggas,2
Them,sleigh,5
Them,fuckin,1
wholesome,Now,4
wholesome,",",1
mostly,with,2
Thee,And,15
Thee,be,1
Thee,All,1
Thee,"""",4
Thee,Who,2
Thee,",",15
Thee,.,1
that,all,88
that,dance,23
that,caused,2
that,keep,14
that,demand,1
that,Everybody's,12
that,shit's,11
that,leads,7
that,stops,9
that,go,39
that,psycho,2
that,hold's,1
that,hate,44
that,extra,1
that,swag,4
that,zone,3
that,flash,5
that,melts,3
that,it'd,19
that,Ain't,1
that,soothes,7
that,dressing,5
that,Not,3
that,pride,7
that,kush,3
that,woman,54
that,we've,42
that,Everytime,4
that,far,24
that,rise,2
that,fat,7
that,wave,1
that,me,5
